epoch,train_loss,train_miou,test_loss,test_miou,lr
1,1.1698310117202777,0.35365358577866696,0.774610587055721,0.4121847820340855,9.997532801828658e-05
2,0.7073401205103707,0.5082676131185638,0.625765592805923,0.5186998750102216,9.990133642141359e-05
3,0.5905711014099695,0.5915997019985946,0.601335124363975,0.5329015389688958,9.977809823015401e-05
4,0.5270399698918616,0.6234670031911878,0.5659874922462872,0.551372243178203,9.960573506572391e-05
5,0.4913644853427454,0.6447614795238872,0.5369409702954784,0.5691207638878142,9.93844170297569e-05
6,0.45572299979351183,0.6606326629305708,0.517887279213894,0.58048199220965,9.911436253643445e-05
7,0.45147330182845946,0.6621442276715561,0.5087298797591339,0.584618001328515,9.879583809693738e-05
8,0.43270619703387775,0.674799339819424,0.5010436253533477,0.5911404776110469,9.842915805643157e-05
9,0.41061899521284634,0.6850231144345246,0.5010529904966317,0.5954527782350787,9.801468428384717e-05
10,0.3972198158778526,0.6923076570740461,0.4955590377960886,0.5968379353979206,9.75528258147577e-05
11,0.38867500414037043,0.6997927688364478,0.4911904719377321,0.6039766009635673,9.70440384477113e-05
12,0.3731708469007302,0.7056650108102906,0.4882283494586036,0.608990798104227,9.64888242944126e-05
13,0.37233439950203456,0.7077031151522187,0.5014442851737378,0.6075593160847419,9.588773128419907e-05
14,0.35651286912185176,0.7164412390544934,0.5034329994093805,0.6060835605490248,9.5241352623301e-05
15,0.3563091685236604,0.7155609477444794,0.5054213184094618,0.6132009708559439,9.455032620941843e-05
16,0.3496568785566423,0.7232452222055329,0.496072831785395,0.6113169161957627,9.381533400219321e-05
17,0.3439214718700559,0.723985095353422,0.4778917229009999,0.6177714842051937,9.303710135019722e-05
18,0.3332629244153698,0.7300279309560191,0.49756556323596407,0.6110616548728403,9.22163962751008e-05
19,0.32562094278357645,0.7360490857671862,0.4886256089167936,0.6169972518758716,9.135402871372814e-05
20,0.32636366894951574,0.7347051169005542,0.49884556813372505,0.6167973011341618,9.045084971874742e-05
21,0.3207505734430419,0.7396726180316888,0.48060365494281526,0.6190714980603639,8.950775061878456e-05
22,0.31454025274487557,0.7422572342531495,0.49752542423823526,0.620613622937651,8.852566213878951e-05
23,0.30944407472593916,0.7475772956417873,0.4992376233022364,0.6162649001073243,8.750555348152303e-05
24,0.30787911331626,0.7463188813349845,0.48364056422123836,0.6182458201224633,8.644843137107063e-05
25,0.3036692989990115,0.7502154610109505,0.4961101045565946,0.6185507977797131,8.535533905932742e-05
26,0.2982097040792858,0.7533518368051394,0.4946710351440642,0.6204847501543208,8.422735529643448e-05
27,0.2951741710788122,0.7545875097831832,0.48315890032857184,0.627823066085138,8.306559326618263e-05
28,0.29034759256022946,0.7596490667010151,0.49444041684979484,0.626513361917998,8.187119948743452e-05
29,0.2888266720498602,0.7587591407956977,0.48924309724853154,0.6227624453459961,8.064535268264887e-05
30,0.2847153681364876,0.7641298778672466,0.4961163474926873,0.6290730158163121,7.938926261462371e-05
31,0.2819857576655017,0.7655494663865993,0.5008340115466762,0.6261011590179872,7.810416889260659e-05
32,0.28981953366073193,0.7634361679052235,0.5218792535246365,0.6164378054240008,7.679133974894988e-05
33,0.2811667341394005,0.7635868724482887,0.4999713393903914,0.6228231143424127,7.545207078751862e-05
34,0.2762990970233524,0.7680917705092853,0.505183509950127,0.625117273770127,7.408768370508582e-05
35,0.2714851504812638,0.7694060565324021,0.501994993892454,0.6259196599783502,7.26995249869774e-05
36,0.2736015029389549,0.7699207531209936,0.49936768270674203,0.626230899709174,7.12889645782537e-05
37,0.26418377662560455,0.778480354146414,0.504526786210518,0.6223188173202623,6.985739453173908e-05
38,0.2641796615595619,0.7760350289424692,0.5149674204488596,0.62638480602707,6.840622763423397e-05
39,0.25929741219927865,0.778554078573678,0.505550072661468,0.626312859442247,6.693689601226464e-05
